# {"t_start": 1557863724.388421, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
-1.256294,65,35.900194,20,25.956557
0.082106,65,7.473739,6,26.001264
0.254311,65,60.581656,31,26.046394
1.551006,65,11.189859,8,26.086573
-0.316061,65,15.663814,7,26.131102
0.224497,65,33.542526,19,26.171065
-8.319579,65,276.188452,38,26.211201
2.561219,65,11.410385,10,26.255323
11.197524,65,240.90667,47,26.295146
8.159526,65,369.928784,57,26.335113
1.208333,65,81.020077,26,26.375269
-0.705069,65,28.243281,14,26.415552
1.778814,65,77.398631,33,26.456333
-6.183069,65,16.724615,12,26.496275
-0.534645,65,95.52938,37,26.536607
-0.28073,65,126.000075,57,26.576591
-1.592295,65,37.85746,26,26.616098
-4.63484,65,12.685021,11,26.656555
0.24058,65,2.112936,1,26.696447
-0.256884,65,8.230704,5,26.736636
6.393099,65,164.493922,34,26.776647
0.156462,65,83.450951,31,26.81665
-35.803089,65,173.262479,45,26.856909
-0.719156,65,67.293395,34,26.896786
-6.061052,65,196.487025,43,26.936871
-1.621554,65,16.349481,9,26.979097
1.377491,65,47.890586,34,27.021701
0.653371,65,299.772475,61,27.065537
14.789099,65,12.415935,11,27.111485
10.452599,65,44.0314,21,27.709648
-2.109014,65,120.623363,34,27.755166
-2.043998,65,47.992624,33,27.796414
-1.100591,65,33.319597,20,27.837106
-1.263751,65,32.835585,13,27.877966
0.309199,65,13.788014,11,27.919295
-22.618785,65,0.0,0,27.959405
1.529376,65,64.863147,37,27.999194
0.185691,65,24.428901,16,28.046866
6.298636,65,140.980862,35,28.087546
6.666997,65,9.414746,6,28.127668
-3.317271,65,18.711799,13,28.168172
-42.341505,65,316.645003,38,28.208323
2.250064,65,37.918617,22,28.249336
0.076899,65,9.00357,7,28.289578
5.377838,65,45.099264,23,28.329504
-2.689388,65,55.816734,24,28.369816
-2.167262,65,38.071915,21,28.410707
2.507896,65,61.863134,35,28.454248
0.099275,65,7.486698,5,28.495126
-2.332138,65,160.249646,40,28.536183
-2.607755,65,73.933099,34,28.576844
8.67742,65,112.715307,41,28.624016
-3.264239,65,16.138468,10,28.670012
2.724038,65,45.274659,25,28.714173
0.465555,65,62.549664,39,28.759089
-1.785661,65,223.545638,60,28.799414
2.031495,65,59.644453,32,28.83965
-3.769033,65,55.999926,39,28.881078
2.07756,65,94.424246,32,28.921166
-1.133012,65,304.02658,56,28.961192
-0.102359,65,1.50599,1,29.538559
-5.723864,65,342.585328,46,29.582997
-7.464729,65,10.412784,8,29.622957
0.581171,65,57.923843,30,29.664614
1.274896,65,9.629649,7,29.707767
-21.477537,65,141.618754,44,29.749429
-2.343956,65,172.519121,47,29.789644
-1.319581,65,117.889244,47,29.829694
3.06673,65,34.821814,19,29.870334
-0.436166,65,36.110382,17,29.911577
5.300712,65,174.166346,55,29.95192
0.604337,65,84.71723,41,29.991798
0.518593,65,132.797541,50,30.031943
-3.678193,65,234.137998,47,30.072657
1.495605,65,12.191338,7,30.11685
-1.848892,65,9.934235,7,30.1624
-0.173951,65,23.244079,12,30.203226
2.16091,65,36.422758,17,30.246364
-25.8945,65,100.431509,36,30.286639
2.46354,65,206.470836,57,30.326638
-0.756215,65,1.509241,1,30.366632
-3.970067,65,23.909537,16,30.411259
-3.488694,65,39.338133,20,30.455655
10.782448,65,159.801891,40,30.497891
-27.474215,65,88.535847,40,30.538271
-1.535922,65,1.488525,1,30.582229
0.668886,65,118.285765,36,30.626616
1.949692,65,29.950753,19,30.674212
2.805548,65,61.076963,26,30.718743
-9.482829,65,282.863039,57,30.762856
-9.579434,65,2.837671,1,30.803765
0.536102,65,39.099832,26,30.8446
-0.056203,65,252.427433,44,31.432242
-7.562938,65,339.189554,56,31.472328
1.604382,65,19.80427,11,31.516152
-0.224603,65,75.298332,29,31.556566
-10.575185,65,139.709304,48,31.596525
2.125711,65,12.481813,5,31.641324
2.355268,65,16.990944,9,31.682337
3.313308,65,109.673562,35,31.722532
-0.154246,65,0.0,0,31.766473
-3.111843,65,88.105912,29,31.806782
-47.644639,65,334.186435,51,31.846739
2.619737,65,12.593925,7,31.88989
-0.024565,65,41.768834,17,31.936873
-1.543829,65,5.17238,4,31.97725
1.416759,65,132.256756,47,32.017267
0.033504,65,182.354446,43,32.057384
-0.234676,65,5.807658,5,32.097549
-0.89424,65,7.361754,4,32.138894
1.055949,65,31.520745,21,32.179683
-3.397499,65,91.780133,28,32.219637
-2.156044,65,9.549341,7,32.260398
0.996657,65,30.794002,17,32.300628
-57.679993,65,288.978194,33,32.343975
-11.02961,65,366.082486,62,32.385358
-1.915161,65,33.080415,22,32.425388
1.7763,65,67.343094,27,32.466022
1.5221,65,21.226866,14,32.506206
-3.170062,65,18.481274,12,32.546275
0.508145,65,7.000853,5,32.587229
0.514214,65,54.731544,31,32.627191
6.509117,65,138.207196,46,32.671751
-1.352739,65,74.898005,37,33.244133
-3.862923,65,180.245594,50,33.284924
-0.801845,65,14.095516,10,33.325224
6.786481,65,122.748776,46,33.365292
0.716078,65,33.540564,20,33.411083
0.477492,65,12.28368,5,33.452183
6.037137,65,132.079619,25,33.495337
0.708465,65,135.285366,43,33.536493
58.925321,65,89.96302,29,33.579069
5.080453,65,65.796937,18,33.630347
-0.367608,65,138.695781,52,33.699158
0.380108,65,22.935883,13,33.750988
-18.574158,65,199.813557,45,33.801737
-9.495008,65,206.320778,49,33.841818
71.7686,65,75.635446,26,33.88189
-2.836792,65,207.172305,48,33.922245
-1.400376,65,184.298949,42,33.962023
0.811802,65,61.601749,30,34.002098
-27.166005,65,392.882406,60,34.041882
62.650934,65,630.069711,57,34.081699
-0.621172,65,3.400925,4,34.122315
2.426089,65,63.595213,26,34.162318
1.826239,65,7.615618,7,34.202143
-0.539039,65,1.198184,1,34.242161
1.245119,65,29.518987,17,34.282073
-1.131949,65,285.518764,57,34.321977
-3.867949,65,243.849357,64,34.366988
-20.24809,65,671.541786,59,34.408744
4.42504,65,19.685717,11,34.451598
-1.384684,65,111.483754,38,34.491843
-13.490963,65,45.266435,22,34.531644
-30.177785,65,717.339092,52,34.571739
2.825521,65,139.711992,46,35.151513
3.818297,65,135.04343,42,35.197169
-3.00406,65,146.660512,47,35.242105
-13.745547,65,225.768686,61,35.282254
0.780922,65,343.015137,42,35.322437
9.513891,65,162.45771,57,35.362333
-2.520901,65,24.183778,17,35.406884
-1.751035,65,11.971423,9,35.448409
0.50735,65,68.824921,24,35.488425
-4.498224,65,51.832897,21,35.528156
-1.348807,65,89.503144,35,35.568023
2.501523,65,3.53926,3,35.616741
35.628269,65,66.80964,31,35.659977
35.939937,65,147.478281,46,35.704677
27.246458,65,161.23293,30,35.744677
2.586576,65,34.220865,13,35.785631
38.466684,65,65.149865,17,35.831235
-3.663215,65,59.036223,28,35.871717
10.747599,65,58.422633,18,35.912083
-70.432027,65,984.108791,55,35.951774
-24.76122,65,317.384758,54,35.991706
-5.229823,65,88.523975,37,36.031282
-0.231568,65,196.937861,41,36.071029
2.084732,65,15.187602,11,36.115075
-90.175158,65,354.89229,56,36.160424
0.153179,65,5.378639,3,36.201407
4.832002,65,51.995766,31,36.242518
2.279608,65,35.973916,18,36.282532
41.269447,65,240.747559,36,36.326308
-1.576423,65,84.69983,29,36.366242
-7.025368,65,119.701593,26,36.40677
5.318122,65,38.985374,26,36.983068
3.224525,65,128.687085,54,37.023242
4.064063,65,140.230898,47,37.063079
-21.012257,65,170.281345,39,37.106979
3.782584,65,313.78681,57,37.147936
-0.73265,65,18.010698,11,37.187929
-0.423029,65,2.441277,1,37.232487
7.749531,65,83.819872,36,37.273178
40.542544,65,123.217702,43,37.313087
6.067564,65,18.84658,11,37.353108
-0.2258,65,3.064616,2,37.40119
4.76262,65,185.440052,46,37.450848
-0.243965,65,11.920191,8,37.490957
9.971162,65,44.618108,13,37.531951
0.281154,65,212.302762,55,37.571705
-6.172774,65,82.346064,33,37.617159
-3.423797,65,13.910896,9,37.660749
-8.550462,65,8.240333,5,37.700872
-0.120451,65,349.261825,56,37.740996
-5.794935,65,31.715866,16,37.780905
0.227733,65,24.660132,17,37.825291
0.22204,65,9.735317,6,37.865927
0.158255,65,105.442991,45,37.90716
4.686508,65,38.602593,18,37.946998
-8.644399,65,170.430624,49,37.987321
